"guild","bin_midpoint","bin_min","bin_max","bin_count","density_bin_value","production_bin_value","light_bin_value"
"shade",1.15550971151987,1,1.31101942303975,5834,375.153419229023,4.05787693329339,5882.2838086829
"shade",1.51489567531361,1.31101942303975,1.71877192758748,10862,532.774164663828,11.9140383420502,13048.5503135003
"shade",1.98605765421507,1.71877192758748,2.25334338084266,11039,413.003722244426,17.222469729838,21003.1159901967
"shade",2.60376015995272,2.25334338084266,2.95417693906278,10986,313.512384535372,23.4950236997142,31762.9225133474
"shade",3.4135801426351,2.95417693906278,3.87298334620742,9185,199.933303219861,27.0217273459844,33929.2444777548
"shade",4.47526986909741,3.87298334620742,5.07755639198741,7444,123.595659492444,30.0913623858239,35947.0461161078
"shade",5.86716572173127,5.07755639198741,6.65677505147513,5651,71.5670368514152,32.645540494192,44980.1565807609
"shade",7.69196821938272,6.65677505147513,8.72716138729032,3790,36.6115244719071,30.3386670011569,47194.7251827873
"shade",10.0843197370152,8.72716138729032,11.4414780867401,2730,20.1155598427653,30.3063517897048,40202.8096797649
"shade",13.2207390433701,11.4414780867401,15,1739,9.77372090091725,28.0589291092414,31748.2833466393
"shade",17.3326456727981,15,19.6652913455963,1077,4.61707499153991,27.3276055324556,33220.2265077876
"shade",22.7234351297042,19.6652913455963,25.7815789138122,729,2.38379896912742,26.428927200707,32004.8302447521
"shade",29.790864813226,25.7815789138122,33.8001507126398,589,1.4690895455625,30.1945000027836,29277.6127729004
"shade",39.0564023992907,33.8001507126398,44.3126540859417,317,0.603091364146568,20.4663501534956,20627.8896932446
"shade",51.2037021395265,44.3126540859417,58.0947501931113,143,0.207515604140374,11.1537849854252,13974.7449360339
"shade",67.1290480364612,58.0947501931113,76.1633458798111,73,0.0808031805744978,7.71625326479367,8156.68561654094
"shade",88.007485825969,76.1633458798111,99.8516257721269,37,0.0312390770188446,5.47241286679448,4767.78765352196
"shade",115.379523290741,99.8516257721269,130.907420809355,15,0.00966003284219184,3.18678626481226,2387.10154497224
"shade",151.264796055228,130.907420809355,171.622171301102,1,0.000491222462582789,0.121521860945524,163.104574618582
"shade",198.311085650551,171.622171301102,225,0,0,0,0
"intermediate",1.15550971151987,1,1.31101942303975,460,29.5801461853532,0.266152124506798,451.707668512132
"intermediate",1.51489567531361,1.31101942303975,1.71877192758748,1058,51.8942244719508,1.01787933867106,1230.97006736055
"intermediate",1.98605765421507,1.71877192758748,2.25334338084266,1302,48.7119165107566,1.78011138443317,2485.34961937267
"intermediate",2.60376015995272,2.25334338084266,2.95417693906278,1540,43.9476672296079,3.06848866231804,4308.47292592994
