Order,Site,Gentry_Code,year,Line,Main_Stem,LTER_Tag_#,LTER_Tag_# 2,Taxon,ENQ_Tag_#,CI,Comments JG,Comments JG (simplified),"Growth dbh, (3 yrs)","Growth dgh, (3 yrs)","DBH +DGH, 3yrs",Bins kg,Bins 10 kg,Mass yr 3,Mass dbh yr 1,Mass dbh yr 3,dbh mass growth,mass dgh yr 1,mass dgh yr 3,growth mass dgh,"mass, yr 1, dbh + dgh",growth dbh + dgh,Distance_m,location_2012,Date,Year 2 sample date,Year 3 sample date,Year1_DBH,Year2_DBH,Year3_DBH,Year1_DGH_1,Year2_DGH,Year3_DGH,Mortality_Date,error,Dendrometer,Year2_recorder,Year2_Tagger,Year2_measurer,DTN,POM,Year1_notes,Year2_Notes,Year3_Notes,Year1_Total_Plot_Biomass,Sampled,Angle,location_2011,Cloth_tape,RUFINO HABIT,vnum,WoodDensityBIEN,log Growth (kg/2yr),log Mass (kg),mass-norm growth
1,Harvard Forest LTER,HFRT1,1,1,na,,,,5467,2,,,,1,1,<1kg,,0.107485427,,,,0.107485427,0.107485427,0,0.107485427,0,0.5,RR,20111117,20121114,20131028,,,,1,1,2,,,,Amanda,Lindsey,Colby,,,HEMLOCK,TC,,,,,R,,,5865,0.38,,-0.968650414,
2,Harvard Forest LTER,HFRT1,1,1,na,50136,50136,Tsuga canadensis,,3,,,0.6,,0.6,100-500kg,,109.1318524,99.9586841,109.1318524,9.173168292,,,,99.9586841,9.173168292,1.2,LL,20111117,20121114,20131028,16.4,16.6,17,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5866,0.38,0.962519361,1.99982053,-0.537346036
3,Harvard Forest LTER,HFRT1,1,1,na,50132,50132,Tsuga canadensis,,1.5,,,0.1,,0.1,1-5kg,,3.583102472,3.37821232,3.583102472,0.204890152,,,,3.37821232,0.204890152,5.4,C,20111117,20121114,20131028,4.1,4.2,4.2,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,C,,,5867,0.38,-0.688478915,0.528686941,-1.084994121
4,Harvard Forest LTER,HFRT1,1,1,na,50141,50141,Tsuga canadensis,,1.5,,,0,,0,<1kg,,0.9128423,0.9128423,0.9128423,0,,,,0.9128423,0,16.3,R,20111117,20121114,20131028,2.4,2.3,2.4,4.1,,,,,,Amanda,Lindsey,Colby,,,G,,,,,,R,,,5868,0.38,,-0.039604243,
5,Harvard Forest LTER,HFRT1,1,1,na,,,,5468,2,Dead,Dead,,,,,,,,,,,,,,,19.2,LL,20111117,20121114,20131028,,,,1.5,1.4,,10_2013,,,Amanda,Lindsey,Colby,,,HEMLOCK,KL,,,,,L,,,5869,0.62,,,
6,Harvard Forest LTER,HFRT1,1,1,na,50266,50266,Kalmia latifolia,,1.5,Dead,Dead,0,,0,1-5kg,,1.843671573,1.843671573,1.843671573,0,,,,1.843671573,0,20.7,R,20111117,20121114,20131028,3.2,3.1,3.2,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,R,,,5870,0.62,,0.265683559,
7,Harvard Forest LTER,HFRT1,1,1,na,50264,50264,Tsuga canadensis,,1.5,,,0.2,,0.2,5-20kg,,13.37339101,12.48379557,13.37339101,0.889595434,,,,12.48379557,0.889595434,21.1,RR,20111117,20121114,20131028,7,7.1,7.2,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,R,,,5871,0.38,-0.050807455,1.096346648,-0.873067441
8,Harvard Forest LTER,HFRT1,1,1,na,,,,5469,1,Dead,Dead,,,,,,,,,,,,,,,21.7,RR,20111117,20121114,20131028,,,,1.3,1.3,,10_2013,,,Amanda,Lindsey,Colby,,,HEMLOCK,TC,,,,,R,,,5872,0.38,,,
9,Harvard Forest LTER,HFRT1,1,1,na,50225,50225,Acer rubrum,,3,,,0.5,,0.5,100-500kg,,202.6398159,191.5206658,202.6398159,11.11915012,,,,191.5206658,11.11915012,22.3,L,20111117,20121114,20131028,21.4,21.5,21.9,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5873,0.49,1.046071594,2.282215643,-0.665590138
10,Harvard Forest LTER,HFRT1,1,1,na,50232,50232,Tsuga canadensis,,1.5,45º,,0.1,,0.1,1-5kg,,2.805761851,2.628757352,2.805761851,0.177004498,,,,2.628757352,0.177004498,25.3,L,20111117,20121114,20131028,3.7,3.8,3.8,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5874,0.38,-0.752015697,0.4197505,-1.066828573
11,Harvard Forest LTER,HFRT1,2,1,na,50231,,,,1,,,,,,,,,,,,,,,,,25.9,R,20121114,20121114,20131028,,6.5,6.5,,,,,,,Amanda,Lindsey,Colby,,,,TC,,,,,,,,5875,0.38,,,
12,Harvard Forest LTER,HFRT1,1,1,na,50233,50233,Tsuga canadensis,,1.5,,,0.1,,0.1,5-20kg,,13.37339101,12.92407182,13.37339101,0.449319191,,,,12.92407182,0.449319191,26.2,L,20111117,20121114,20131028,7.1,7.2,7.2,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5876,0.38,-0.347445032,1.111399363,-1.180994554
13,Harvard Forest LTER,HFRT1,1,1,na,50234,50234,Acer rubrum,,4,,,0.2,,0.2,100-500kg,,353.4752619,347.2266222,353.4752619,6.248639664,,,,347.2266222,6.248639664,26.6,C,20111117,20121114,20131028,27.3,27.3,27.5,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,C,,,5877,0.49,0.795785481,2.540613016,-1.10967428
14,Harvard Forest LTER,HFRT1,1,1,na,,,,5470,1,Dead,Dead,,,,,,,,,,,,,,,26.8,C,20111117,20121114,20131028,,,,1.9,,,11_2012,,,Amanda,Lindsey,Colby,,,HEMLOCK,dead,,,,,L,,,5878,0.38,,,
15,Harvard Forest LTER,HFRT1,1,1,na,50237,50237,Tsuga canadensis,,1,,,0.3,,0.3,5-20kg,,11.63014464,10.41605764,11.63014464,1.214086995,,,,10.41605764,1.214086995,27.9,C,20111117,20121114,20131028,6.5,6.7,6.8,,,,,,,Amanda,Lindsey,Colby,,,50237 TWICE *,,,,,,C,,,5879,0.38,0.084249807,1.017703375,-0.679027724
16,Harvard Forest LTER,HFRT1,1,1,na,50238,50238,Acer rubrum,,2.5,,,0.6,,0.6,100-500kg,,130.6618567,120.4404207,130.6618567,10.22143601,,,,120.4404207,10.22143601,28.4,C,20111117,20121114,20131028,17.7,17.9,18.3,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,C,,,5880,0.49,1.009511914,2.080772264,-0.551067284
17,Harvard Forest LTER,HFRT1,1,1,na,50237,50237,Tsuga canadensis,,NA,,,0.2,,0.2,>500kg,,1863.515336,1846.788259,1863.515336,16.72707694,,,,1846.788259,16.72707694,33.5,C,20111117,20121114,20131028,54.1,54.3,54.3,,,,,,,Amanda,Lindsey,Colby,,,*,,,,,,C,,,5881,0.38,1.223420055,3.266417105,-1.226392774
18,Harvard Forest LTER,HFRT1,1,1,na,,,,5471,1.5,Almost dead,Dead,,0.1,0.1,<1kg,,0.135672746,,,,0.107485427,0.135672746,0.028187318,0.107485427,0.028187318,38.5,LL,20111117,20121114,20131028,,,,1,1.1,1.1,,d,,Amanda,Lindsey,Colby,,,HEMLOCK,TC,,,,,R,,,5882,0.38,-1.549946245,-0.968650414,-0.823458434
19,Harvard Forest LTER,HFRT1,1,1,na,50268,50268,Acer rubrum,,4,,,0.7,,0.7,>500kg,,641.6637819,610.8437603,641.6637819,30.82002157,,,,610.8437603,30.82002157,40.1,L,20111117,20121114,20131028,34.4,34.6,35.1,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5883,0.49,1.488832938,2.785930142,-0.600614668
20,Harvard Forest LTER,HFRT1,3,1,na,,,,5647,NA,,,,,,,,,,,,,,,,,42.3,,,,20131028,,,,,,1,,,,,,,,,,,picca rubens,,,,,,,,0.37,,,
21,Harvard Forest LTER,HFRT1,1,1,na,50371,50371,Tsuga canadensis,,2.5,Dead,Dead,0.2,,0.2,100-500kg,,230.8529669,225.9995574,230.8529669,4.853409477,,,,225.9995574,4.853409477,40.9,L,20111117,20121114,20131028,22.9,23.1,23.1,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5884,0.38,0.686046934,2.354107589,-1.079533758
22,Harvard Forest LTER,HFRT1,1,1,na,,,,5472,1.5,Dead,Dead,,,,,,,,,,,,,,,42.3,R,20111117,20121114,20131028,,,,1.2,1.2,,10_2013,,,Amanda,Lindsey,Colby,,,HEMLOCK,TC,,,,,R,,,5885,0.38,,,
23,Harvard Forest LTER,HFRT1,1,1,na,50372,50372,Tsuga canadensis,,1.5,15º,,0.1,,0.1,5-20kg,,6.038148056,5.758340116,6.038148056,0.27980794,,,,5.758340116,0.27980794,43.9,LL,20111117,20121114,20131028,5.1,5.2,5.2,,,,,,,Amanda,Lindsey,Colby,,,,fallen,,,,,L,,,5886,0.38,-0.553139966,0.760297313,-1.123362951
24,Harvard Forest LTER,HFRT1,1,1,na,,,,5473,1.5,15º,,,0.3,0.3,<1kg,,0.584677501,,,,0.515803175,0.584677501,0.068874325,0.515803175,0.068874325,45.9,L,20111117,20121114,20131028,,,,1.9,2,2.2,,,,Amanda,Lindsey,Colby,,,HEMLOCK,TC,,,,,L,,,5887,0.38,-1.161942644,-0.287515989,-0.946305653
25,Harvard Forest LTER,HFRT1,2,1,na,,,,5525,1,,,,,,,,,,,,,,,,,46.6,LL,20121114,20121114,20131028,,,,,1,1.1,,,,Amanda,Lindsey,Colby,,,,TC,,,,,,,,5888,0.38,,,
26,Harvard Forest LTER,HFRT1,1,1,na,40470,40470,Quercus rubra,,4,,,0.7,,0.7,>500kg,,543.7350443,515.8157921,543.7350443,27.91925226,,,,515.8157921,27.91925226,47.7,LL,20111117,20121114,20131028,32.1,32.5,32.8,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5889,0.56,1.445903783,2.712494634,-0.588467193
27,Harvard Forest LTER,HFRT1,1,1,40470,40471,40471,Quercus rubra,,4,,,0.5,,0.5,>500kg,,515.8157921,496.4036589,515.8157921,19.41213317,,,,496.4036589,19.41213317,47.7,LL,20111117,20121114,20131028,31.6,31.9,32.1,,,,,,,Amanda,Lindsey,Colby,,,2 STEMS,,,,,,L,,,5890,0.56,1.288073262,2.695834974,-0.733802968
28,Harvard Forest LTER,HFRT1,3,1,na,400467,,,,NA,,,,,,,,,,,,,,,,,48.5,,,,20131028,,,,,,1.1,,,,,,,,,,,,,,,,,,,0.38,,,
29,Harvard Forest LTER,HFRT1,3,1,na,,,,5669,1.5,,,,,,,,,,,,,,,,,48.5,,,,20131028,,,,,,1.2,,,,,,,,,,,,,,,,,,,0.38,,,
30,Harvard Forest LTER,HFRT1,1,1,na,40466,40466,Tsuga canadensis,,,,,0,,0,1-5kg,,1.449502923,1.449502923,1.449502923,0,,,,1.449502923,0,48.6,L,20111117,20121114,20131028,2.9,2.9,2.9,,,,,,,Amanda,Lindsey,Colby,,,,fallen,,,,,L,,,5891,0.38,,0.161219095,
31,Harvard Forest LTER,HFRT1,1,1,na,,,,5474,1.5,,,,0.3,0.3,<1kg,,0.289486676,,,,0.289486676,0.289486676,0,0.289486676,0,49.1,L,20111117,20121114,20131028,,,,1.5,1.5,1.8,,,,Amanda,Lindsey,Colby,,,HEMLOCK,TC,,,,,L,,,5892,0.38,,-0.53837142,
32,Harvard Forest LTER,HFRT1,1,1,na,,,,5475,1.5,,,,0.3,0.3,<1kg,,0.289486676,,,,0.244575777,0.289486676,0.044910898,0.244575777,0.044910898,49.2,R,20111117,20121114,20131028,,,,1.4,1.5,1.7,,,,Amanda,Lindsey,Colby,,,HEMLOCK,TC,,,,,C,,,5893,0.38,-1.347648261,-0.611586558,-0.888958343
33,Harvard Forest LTER,HFRT1,1,1,na,,,,5476,1.5,,,,0.1,0.1,<1kg,,0.658707236,,,,0.584677501,0.658707236,0.074029735,0.584677501,0.074029735,49.5,R,20111117,20121114,20131028,,,,2,2.1,2.1,,,,Amanda,Lindsey,Colby,,,,TC,,,,,C,,,5894,0.38,-1.130593805,-0.233083618,-0.955781092
34,Harvard Forest LTER,HFRT1,1,1,na,,,,5478,1.5,Dead,Dead,,0.2,0.2,1-5kg,,1.110035743,,,,1.110035743,1.110035743,0,1.110035743,0,49.6,R,20111117,20121114,20131028,,,,2.6,2.6,2.8,,,,Amanda,Lindsey,Colby,,,,TC,,,,,C,,,5895,0.38,,0.045336963,
35,Harvard Forest LTER,HFRT1,1,1,na,50374,50374,Tsuga canadensis,,1.5,,,,,,,,,,,,,,,,,50,L,20111117,20121114,20131028,2.4,2.4,2.5,3.5,,,,,,Amanda,Lindsey,Colby,,,G,,,,,,L,,,5896,0.38,,,
36,Harvard Forest LTER,HFRT1,1,2,na,50384,50384,Tsuga canadensis,,1,,,0.1,,0.1,<1kg,,0.244575777,0.204065773,0.244575777,0.040510004,,,,0.204065773,0.040510004,0.4,L,20111117,20121114,20131028,1.3,1.4,1.4,2.3,,,,,,Amanda,Lindsey,Colby,,,HEMLOCK,,,,,,L,,,5897,0.38,-1.392437714,-0.690229831,-0.87476534
37,Harvard Forest LTER,HFRT1,1,2,na,50418,50418,Tsuga canadensis,,1.5,,,0.1,,0.1,<1kg,,0.658707236,0.584677501,0.658707236,0.074029735,,,,0.584677501,0.074029735,0.8,C,20111117,20121114,20131028,2,2,2.1,3.4,,,,,,Amanda,Lindsey,Colby,,,HEMLOCK,,,,,,C,,,5898,0.38,-1.130593805,-0.233083618,-0.955781092
38,Harvard Forest LTER,HFRT1,1,2,na,50385,50385,Tsuga canadensis,,1.5,45º,,0.2,,0.2,5-20kg,,10.02883195,9.280228739,10.02883195,0.74860321,,,,9.280228739,0.74860321,1.8,R,20111117,20121114,20131028,6.2,6.3,6.4,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,C,,,5899,0.38,-0.125748315,0.967558681,-0.851417326
39,Harvard Forest LTER,HFRT1,1,2,na,50386,50386,Tsuga canadensis,,1.5,,,0.1,,0.1,<1kg,,0.822681166,0.738005177,0.822681166,0.084675989,,,,0.738005177,0.084675989,2.6,RR,20111117,20121114,20131028,2.2,2.3,2.3,3.2,,,,,,Amanda,Lindsey,Colby,,,HEMLOCK,,,,,,R,,,5900,0.38,-1.072239722,-0.131940592,-0.973284278
40,Harvard Forest LTER,HFRT1,1,2,na,50387,50387,Tsuga canadensis,,1,,,0.1,,0.1,<1kg,,0.658707236,0.584677501,0.658707236,0.074029735,,,,0.584677501,0.074029735,2.8,C,20111117,20121114,20131028,2,2.1,2.1,3,,,,,,Amanda,Lindsey,Colby,,,G,,,,,,C,,,5901,0.38,-1.130593805,-0.233083618,-0.955781092
41,Harvard Forest LTER,HFRT1,1,2,na,,,,5479,1,,,,-2,-2,<1kg,,0.244575777,,,,2.294985014,0.244575777,-2.050409236,2.294985014,-2.050409236,2.9,L,20111117,20121114,20131028,,,,3.5,1.4,1.5,,h,,Amanda,Lindsey,Colby,,,HEMLOCK,"TC, 2011 measure bad",,,,,L,,,5902,0.38,,0.360779854,
42,Harvard Forest LTER,HFRT1,1,2,na,50388,50388,Tsuga canadensis,,1.5,45º,,0.1,,0.1,<1kg,,0.738005177,0.658707236,0.738005177,0.079297941,,,,0.658707236,0.079297941,3,L,20111117,20121114,20131028,2.1,2.2,2.2,,,,,,,Amanda,Lindsey,Colby,,,G,,,,,,L,,,5903,0.38,-1.100738089,-0.181307566,-0.964757415
43,Harvard Forest LTER,HFRT1,1,2,na,,,,5477,1,,,,0.1,0.1,<1kg,,0.135672746,,,,0.107485427,0.135672746,0.028187318,0.107485427,0.028187318,3.4,C,20111117,20121114,20131028,,,,1,1.1,1.1,,,,Amanda,Lindsey,Colby,,,,TC,,,,,L,,,5904,0.38,-1.549946245,-0.968650414,-0.823458434
44,Harvard Forest LTER,HFRT1,1,2,na,50389,50389,Tsuga canadensis,,1.5,,,0.1,,0.1,<1kg,,0.393053372,0.338935271,0.393053372,0.054118102,,,,0.338935271,0.054118102,3.4,C,20111117,20121114,20131028,1.6,1.7,1.7,2.8,,,,,,Amanda,Lindsey,Colby,,,G,,,,,,C,,,5905,0.38,-1.266657443,-0.469883234,-0.914245017
45,Harvard Forest LTER,HFRT1,1,2,na,52419,52419,Acer pensylvanicum,,1,Dead,Dead,,,,,,,,,,,,,,,3.6,R,20111117,20121114,20131028,,,,3.4,,,11_2012,,,Amanda,Lindsey,Colby,,,,dead,,,,,R,,,5906,0.44,,,
46,Harvard Forest LTER,HFRT1,1,2,na,,,,5506,1,,,,0.1,0.1,<1kg,,0.584677501,,,,0.515803175,0.584677501,0.068874325,0.515803175,0.068874325,3.8,RR,20111117,20121114,20131028,,,,1.9,2,2,,,,Amanda,Lindsey,Colby,,,,TC,,,,,R,,,5907,0.38,-1.161942644,-0.287515989,-0.946305653
47,Harvard Forest LTER,HFRT1,1,2,na,,,,5507,NA,,,,0.1,0.1,<1kg,,0.204065773,,,,0.204065773,0.204065773,0,0.204065773,0,4.1,RR,20111117,20121114,20131028,,,,1.3,1.3,1.4,,,,Amanda,Lindsey,Colby,,,,TC,,,,,R,,,5908,0.38,,-0.690229831,
48,Harvard Forest LTER,HFRT1,1,2,na,50390,50390,Tsuga canadensis,,NA,,,0.1,,0.1,1-5kg,,2.458525676,2.294985014,2.458525676,0.163540662,,,,2.294985014,0.163540662,4.3,L,20111117,20121114,20131028,3.5,3.5,3.6,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5909,0.38,-0.786374249,0.360779854,-1.056959139
49,Harvard Forest LTER,HFRT1,1,2,na,,,,5480,NA,,,,,,,,,,,,,,,,,4.8,C,20111117,20121114,20131028,,,,1.1,,,11_2012,,,Amanda,Lindsey,Colby,,,,dead,,,,,C,,,5910,0.38,,,
50,Harvard Forest LTER,HFRT1,1,2,na,50392,50392,Tsuga canadensis,,2,,,0.1,,0.1,1-5kg,,2.138052285,1.987643074,2.138052285,0.150409211,,,,1.987643074,0.150409211,5.3,R,20111117,20121114,20131028,3.3,3.4,3.4,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,R,,,5911,0.38,-0.822725567,0.2983384,-1.046479367
51,Harvard Forest LTER,HFRT1,1,2,na,,,,5481,1,,,,0,0,<1kg,,0.515803175,,,,0.515803175,0.515803175,0,0.515803175,0,5.4,RR,20111117,20121114,20131028,,,,1.9,1.9,1.9,,,,Amanda,Lindsey,Colby,,,,TC,,,,,R,,,5912,0.38,,-0.287515989,
52,Harvard Forest LTER,HFRT1,1,2,na,,,,5482,1,,,,0,0,<1kg,,0.338935271,,,,0.338935271,0.338935271,0,0.338935271,0,5.6,L,20111117,20121114,20131028,,,,1.6,1.6,1.6,,,,Amanda,Lindsey,Colby,,,,TC,,,,,L,,,5913,0.38,,-0.469883234,
53,Harvard Forest LTER,HFRT1,1,2,na,50393,50393,Tsuga canadensis,,1,,,0.5,,0.5,<1kg,,0.393053372,0.167814299,0.393053372,0.225239074,,,,0.167814299,0.225239074,5.9,R,20111117,20121114,20131028,1.2,1.3,1.7,1.7,,,,,,Amanda,Lindsey,Colby,,,G,,,,,,R,,,5914,0.38,-0.647356267,-0.775171037,-0.065977989
54,Harvard Forest LTER,HFRT1,1,2,na,,,,5483,1,,,,-0.1,-0.1,<1kg,,0.107485427,,,,0.135672746,0.107485427,-0.028187318,0.135672746,,6.2,L,20111117,20121114,20131028,,,,1.1,1,1,,,,Amanda,Lindsey,Colby,,,,TC,,,,,L,,,5915,0.38,,-0.867507385,
55,Harvard Forest LTER,HFRT1,1,2,na,50394,50394,Tsuga canadensis,,2,,,0.1,,0.1,1-5kg,,1.574691102,1.449502923,1.574691102,0.125188179,,,,1.449502923,0.125188179,6.3,L,20111117,20121114,20131028,2.9,2.9,3,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5916,0.38,-0.902436678,0.161219095,-1.023350999
56,Harvard Forest LTER,HFRT1,1,2,na,50395,50395,Tsuga canadensis,,2,,,0.2,,0.2,1-5kg,,2.138052285,1.843671573,2.138052285,0.294380711,,,,1.843671573,0.294380711,6.8,R,20111117,20121114,20131028,3.2,3.3,3.4,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,R,,,5917,0.38,-0.53109065,0.265683559,-0.73035332
57,Harvard Forest LTER,HFRT1,1,2,na,50396,50396,Tsuga canadensis,,1.5,,,0.2,,0.2,<1kg,,0.9128423,0.738005177,0.9128423,0.174837124,,,,0.738005177,0.174837124,6.8,RR,20111117,20121114,20131028,2.2,2.3,2.4,3.2,,,,,,Amanda,Lindsey,Colby,,,G,,,,,,R,,,5918,0.38,-0.757366346,-0.131940592,-0.658410902
58,Harvard Forest LTER,HFRT1,1,2,na,50397,50397,Acer rubrum,,4,,,0.4,,0.4,100-500kg,,430.1273207,416.1561235,430.1273207,13.9711972,,,,416.1561235,13.9711972,8.5,LL,20111117,20121114,20131028,29.4,29.4,29.8,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5919,0.49,1.145233623,2.619256289,-0.819208594
59,Harvard Forest LTER,HFRT1,1,2,na,,,,5484,1.5,,,,0.1,0.1,<1kg,,0.167814299,,,,0.167814299,0.167814299,0,0.167814299,0,9,R,20111117,20121114,20131028,,,,1.2,1.2,1.3,,,,Amanda,Lindsey,Colby,,,,,,,,,R,,,5920,0.38,,-0.775171037,
60,Harvard Forest LTER,HFRT1,1,2,na,,,,5485,1,,,,0.1,0.1,<1kg,,0.515803175,,,,0.515803175,0.515803175,0,0.515803175,0,11.1,LL,20111117,20121114,20131028,,,,1.9,1.9,2,,,,Amanda,Lindsey,Colby,,,,TC,,,,,L,,,5921,0.38,,-0.287515989,
61,Harvard Forest LTER,HFRT1,1,2,na,,,,5486,1,,,,0.1,0.1,<1kg,,0.135672746,,,,0.107485427,0.135672746,0.028187318,0.107485427,0.028187318,12.5,R,20111117,20121114,20131028,,,,1,1.1,1.1,,,,Amanda,Lindsey,Colby,,,,,,,,,R,,,5922,0.38,-1.549946245,-0.968650414,-0.823458434
62,Harvard Forest LTER,HFRT1,1,2,na,50442,50442,Acer rubrum,,,,,-0.1,,-0.1,20-100kg,,53.5172735,54.55281283,53.5172735,-1.035539323,,,,54.55281283,-1.035539323,12.5,C,20111117,20121114,20131028,12.8,12.7,12.7,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,C,,,5923,0.49,,1.736817148,
63,Harvard Forest LTER,HFRT1,1,2,na,50443,50443,Tsuga canadensis,,,,,0.3,,0.3,<1kg,,0.738005177,0.515803175,0.738005177,0.222202001,,,,0.515803175,0.222202001,13.4,C,20111117,20121114,20131028,1.9,2,2.2,3.5,,,,,,Amanda,Lindsey,Colby,,,G,,,,,,C,,,5924,0.38,-0.653252034,-0.287515989,-0.437615043
64,Harvard Forest LTER,HFRT1,2,2,50443,50444,,,,1.5,,,,,,,,,,,,,,,,,13.4,C,20121114,20121114,20131028,,1.3,,,,,,,,Amanda,Lindsey,Colby,,,,,couldn't find,,,,,,,5925,0.38,,,
65,Harvard Forest LTER,HFRT1,1,2,na,50445,50445,Tsuga canadensis,,2,,,0.4,,0.4,20-100kg,,80.37640528,75.23948092,80.37640528,5.136924356,,,,75.23948092,5.136924356,17.5,R,20111117,20121114,20131028,14.6,14.7,15,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,R,,,5926,0.38,0.710703171,1.876445791,-0.696631172
66,Harvard Forest LTER,HFRT1,1,2,na,,,,5487,1.5,,,,0.3,0.3,<1kg,,0.515803175,,,,0.393053372,0.515803175,0.122749803,0.393053372,0.122749803,17.8,L,20111117,20121114,20131028,,,,1.7,1.9,2,,,,Amanda,Lindsey,Colby,,,,TC,,,,,L,,,5927,0.38,-0.910979196,-0.405548474,-0.606817841
67,Harvard Forest LTER,HFRT1,1,2,na,,,,5490,1,,,,0.1,0.1,<1kg,,0.822681166,,,,0.9128423,0.822681166,-0.090161134,0.9128423,-0.090161134,19.1,L,20111117,20121114,20131028,,,,2.4,2.3,2.5,,,,Amanda,Lindsey,Colby,,,,TC,,,,,L,,,5928,0.38,,-0.039604243,
68,Harvard Forest LTER,HFRT1,1,2,na,,,,5488,1,,,,0,0,<1kg,,0.204065773,,,,0.167814299,0.204065773,0.036251474,0.167814299,0.036251474,19.2,C,20111117,20121114,20131028,,,,1.2,1.3,1.2,,,,Amanda,Lindsey,Colby,,,,TC,,,,,R,,,5929,0.38,-1.44067433,-0.775171037,-0.859296052
69,Harvard Forest LTER,HFRT1,1,2,na,,,,5489,1,knocked over but alive,,,0.1,0.1,<1kg,,0.451968277,,,,0.451968277,0.451968277,0,0.451968277,0,19.2,C,20111117,20121114,20131028,,,,1.8,1.8,1.9,,,,Amanda,Lindsey,Colby,,,,TC,,,,,C,,,5930,0.38,,-0.344892047,
70,Harvard Forest LTER,HFRT1,1,2,na,50446,50446,Quercus rubra,,4,,,0.6,,0.6,100-500kg,,473.6874586,451.5971465,473.6874586,22.09031207,,,,451.5971465,22.09031207,19.5,L,20111117,20121114,20131028,30.4,30.4,31,,,,,,,Amanda,Lindsey,Colby,,,2 STEMS,,,,,,L,,,5931,0.56,1.344201851,2.654751189,-0.646861541
71,Harvard Forest LTER,HFRT1,1,2,50446,50447,50447,Quercus rubra,,2.5,,,0.2,,0.2,20-100kg,,64.40599492,62.13268919,64.40599492,2.273305728,,,,62.13268919,2.273305728,19.9,L,20111117,20121114,20131028,13.5,13.5,13.7,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5932,0.56,0.356657846,1.793320151,-0.988332267
72,Harvard Forest LTER,HFRT1,1,2,na,50449,50449,Tsuga canadensis,,1,,,,,,,,,,,,,,,,,20,C,20111117,20121114,20131028,,1.4,1.4,2.4,,,,g,,Amanda,Lindsey,Colby,,,,,,,,,C,,,5933,0.38,,,
73,Harvard Forest LTER,HFRT1,1,2,na,50448,50448,Tsuga canadensis,,1.5,,,0.4,,0.4,5-20kg,,18.37611651,16.26232924,18.37611651,2.113787279,,,,16.26232924,2.113787279,20.3,L,20111117,20121114,20131028,7.8,7.9,8.2,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5934,0.38,0.32506128,1.211182749,-0.583325782
74,Harvard Forest LTER,HFRT1,1,2,na,,,,5491,,,,,0.1,0.1,<1kg,,0.584677501,,,,0.658707236,0.584677501,-0.074029735,0.658707236,-0.074029735,20.6,LL,20111117,20121114,20131028,,,,2.1,2,2.2,,,,Amanda,Lindsey,Colby,,,,TC,,,,,L,,,5935,0.38,,-0.181307566,
75,Harvard Forest LTER,HFRT1,1,2,na,50481,50481,Tsuga canadensis,,1,,,0.2,,0.2,<1kg,,0.244575777,0.167814299,0.244575777,0.076761479,,,,0.167814299,0.076761479,20.7,L,20111117,20121114,20131028,1.2,1.3,1.4,2,,,,,,Amanda,Lindsey,Colby,,,G,,,,,,L,,,5936,0.38,-1.114856666,-0.775171037,-0.533478388
76,Harvard Forest LTER,HFRT1,1,2,na,50482,50482,Tsuga canadensis,,1,,,0,,0,<1kg,,0.515803175,0.515803175,0.515803175,0,,,,0.515803175,0,20.8,L,20111117,20121114,20131028,1.9,1.9,1.9,3.2,,,,,,Amanda,Lindsey,Colby,,,G,,,,,,L,,,5937,0.38,,-0.287515989,
77,Harvard Forest LTER,HFRT1,1,2,na,50480,50480,Acer rubrum,,4,,,0.1,,0.1,100-500kg,,195.92386,193.7148722,195.92386,2.208987819,,,,193.7148722,2.208987819,21.2,L,20111117,20121114,20131028,21.5,21.5,21.6,,,,,,,Amanda,Lindsey,Colby,,,,,,,,,L,,,5938,0.49,0.344193321,2.287162964,-1.371178902
